ensemble,symbol,asset_class,is_sharpe,oos_sharpe,full_sharpe,yr2022_sharpe,is_ann_return,oos_ann_return,full_ann_return,full_max_dd,n_trades,exposure,survived,vol_scale
MEANREV,NAS100_USD,index,-0.31875754010619817,0.0,-0.2521698255871712,-1.19783274235494,-0.006482836187878625,0.0,-0.004057658969894975,-0.031624674217311854,2,0.0012106537530266344,False,0.0
VOLREGIME,NAS100_USD,index,0.5690866703672416,0.5551934478469835,0.5626190171815986,-0.07598280299173292,0.14534519911657456,0.11966106891066727,0.1357369712308296,-0.2937752817711704,164,0.986682808716707,True,0.19577071476258529
SIGNVOTE,US30_USD,index,-0.40149620991384083,-0.5336323083140097,-0.4330522088751129,-0.0024452074979917173,-0.09603786518034899,-0.08682889611836156,-0.092592863436821,-0.4701877568500188,435,0.8541162227602905,False,0.0
ZSCORE,US30_USD,index,-1.0621165630709688,-0.6443414771142093,-0.9275091963091365,-0.6931302358611324,-0.21383905910002313,-0.08517567767573211,-0.16570711617011277,-0.5878516535636686,508,0.5108958837772397,False,0.0
TRENDQUAL,US30_USD,index,-0.47445300493116194,-0.21031679130535666,-0.3959057130129307,-0.9980373110599401,-0.07860209435190411,-0.018848010046068397,-0.056248568867033374,-0.4003861136127723,287,0.31658595641646486,False,0.0
MEANREV,US30_USD,index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,False,0.0
VOLREGIME,US30_USD,index,-0.13428396364706652,-0.2446979212385601,-0.16753690356802087,0.039819253289396894,-0.026278734487406995,-0.03652911013405108,-0.03011331811308861,-0.37447545917484315,165,0.986682808716707,False,0.0
SIGNVOTE,UK100_GBP,index,-0.6230198540589973,-0.964887004556499,-0.701060861611826,-0.6545205753097184,-0.1375796234951506,-0.1334404306589632,-0.13602710541338156,-0.5601868371501473,423,0.8574085554866708,False,0.0
ZSCORE,UK100_GBP,index,-1.461581523524289,-0.7580409279251702,-1.2339343441451822,0.06234827854992783,-0.2020183238524149,-0.07640257004143673,-0.15490268153645592,-0.5163062564884442,422,0.36577805331680097,False,0.0
TRENDQUAL,UK100_GBP,index,-0.7916852126267824,-0.12959342852703024,-0.6135183166792563,-1.9427467655140205,-0.13070418646371249,-0.010399150567424222,-0.0855804749217073,-0.5168750260022128,291,0.32238065716057035,False,0.0
MEANREV,UK100_GBP,index,-0.4336303761269,0.6863815399777049,-0.31082595877245406,0.0,-0.00476752966315578,0.0007201816475049995,-0.0027092126495477384,-0.022035141768940614,4,0.0024798512089274642,False,0.0
VOLREGIME,UK100_GBP,index,-0.23184420095864533,-0.6928011887214123,-0.37633057461042024,-1.5198860090517865,-0.04009079139837584,-0.09347585055680317,-0.06011432567664524,-0.44840956856897873,157,0.986360818350899,False,0.0
SIGNVOTE,DE30_EUR,index,-0.588836022635004,-0.17764301024238074,-0.46097216925838447,-0.4402073846329653,-0.146690388393977,-0.03174872313390474,-0.10397558035813935,-0.5764257229637642,434,0.851965601965602,False,0.0
ZSCORE,DE30_EUR,index,-0.6738878570753314,-0.49991114876594867,-0.6148705222534334,0.5981662468608504,-0.12253171395550033,-0.0644634565358313,-0.10095229396846116,-0.4683384032532312,419,0.36609336609336607,False,0.0
TRENDQUAL,DE30_EUR,index,-0.07320484556080836,-0.28455721720882343,-0.12780601130096378,-0.25138595459311264,-0.012529080725005194,-0.030652246601694515,-0.019264041017018108,-0.36862824014352735,303,0.3495085995085995,False,0.0
MEANREV,DE30_EUR,index,0.0,0.5239947043167803,0.3193558196126933,0.0,0.0,0.00021455605308200897,7.97336683750709e-05,-0.00014999999999998348,1,0.0006142506142506142,False,0.0
VOLREGIME,DE30_EUR,index,-0.1304668665711568,-0.8919797868332553,-0.3835951492895813,-0.46770967518126483,-0.026714528164811624,-0.15487770292556793,-0.07434273500157916,-0.48796130439397634,169,0.9864864864864865,False,0.0
SIGNVOTE,JP225_USD,index,-0.03776844149893895,-1.3124890805906584,-0.563274145284594,-0.21266574920472336,-0.008753377113185433,-0.3596214076983039,-0.1400103038090712,-0.6083825046347582,465,0.8432203389830508,False,0.0
ZSCORE,JP225_USD,index,-1.3474879410010911,-1.1552099173030983,-1.2683724721114862,-0.9931843035607311,-0.2299091830852669,-0.2209106879527688,-0.22654291795700793,-0.6812569831571456,440,0.3910411622276029,False,0.0
TRENDQUAL,JP225_USD,index,0.07613340169261516,-0.48926232401404063,-0.152866393887123,-0.9943737963366404,0.011668565450860528,-0.08562304913393695,-0.024727450174687197,-0.3121740430211485,307,0.3177966101694915,False,0.0
MEANREV,JP225_USD,index,0.3569146185548585,0.0,0.282352250948308,0.0,0.0032780500472509065,0.0,0.002051757717226052,-0.005330650754678534,2,0.0012106537530266344,False,0.0
VOLREGIME,JP225_USD,index,0.6054606118376321,0.0770201636588449,0.3870576337693536,0.9296149122217267,0.1221569623494373,0.01815013243495346,0.08324883832573815,-0.4091712799353916,266,0.986682808716707,True,0.2478207546229235
